timestamp,sessions,orders,totalSales
2022-03-16T01:01:24.582Z,182,162,48
2022-03-16T01:10:18.292Z,109,11,1
2022-03-16T01:18:14.957Z,115,22,1
2022-03-16T01:19:46.335Z,191,120,61
2022-03-16T01:26:48.636Z,190,123,77
2022-03-16T01:30:06.782Z,54,21,17
2022-03-16T01:36:31.138Z,70,9,3
2022-03-16T01:50:49.420Z,87,64,8
2022-03-16T01:51:02.357Z,195,147,117
2022-03-17T00:57:58.313Z,191,93,17
2022-03-17T00:59:27.880Z,74,7,5
2022-03-17T01:05:40.112Z,5,3,1
2022-03-17T01:06:40.049Z,175,57,9
2022-03-17T01:11:47.632Z,186,37,5
2022-03-17T01:16:51.745Z,32,23,0
2022-03-17T01:37:34.516Z,200,91,53
2022-03-17T01:43:14.025Z,196,76,58
2022-03-17T01:45:02.392Z,169,95,33
2022-03-17T01:47:18.886Z,147,113,56
2022-03-18T00:55:51.048Z,103,84,51
2022-03-18T00:58:17.350Z,149,96,8
2022-03-18T01:03:19.915Z,120,85,31
2022-03-18T01:04:12.501Z,8,6,3
2022-03-18T01:10:07.259Z,175,57,48
2022-03-18T01:38:08.177Z,1,0,0
2022-03-18T01:48:57.054Z,47,33,29
2022-03-19T01:03:40.481Z,77,30,23
2022-03-19T01:04:18.191Z,68,32,3
2022-03-19T01:04:31.503Z,77,13,4
2022-03-19T01:11:46.979Z,114,21,2
2022-03-19T01:14:42.629Z,90,81,64
2022-03-19T01:16:14.877Z,149,140,80
2022-03-19T01:25:33.410Z,108,32,4
2022-03-19T01:31:22.456Z,130,13,12
2022-03-19T01:36:22.240Z,125,58,46
2022-03-19T01:46:49.547Z,48,14,0
2022-03-20T00:59:59.898Z,163,118,50
2022-03-20T01:00:44.367Z,139,109,79
2022-03-20T01:03:04.687Z,36,13,5
2022-03-20T01:03:10.988Z,150,3,0
2022-03-20T01:05:23.802Z,27,20,8
2022-03-20T01:10:02.611Z,168,1,0
2022-03-20T01:10:53.677Z,57,3,2
2022-03-20T01:11:30.552Z,40,34,24
2022-03-20T01:12:19.731Z,34,5,4
2022-03-20T01:14:49.860Z,108,85,77
2022-03-20T01:21:10.436Z,86,21,6
2022-03-20T01:21:19.293Z,143,102,101
2022-03-20T01:34:13.659Z,62,53,4
2022-03-21T00:54:57.138Z,105,50,5
2022-03-21T00:59:38.145Z,139,94,22
2022-03-21T01:06:47.464Z,132,50,26
2022-03-21T01:17:20.459Z,114,30,15
2022-03-21T01:17:56.785Z,71,45,28
2022-03-21T01:21:52.902Z,98,94,56
2022-03-21T01:24:56.071Z,63,46,39
2022-03-21T01:35:17.393Z,25,3,0
2022-03-21T01:44:43.714Z,148,22,9
2022-03-21T01:46:11.727Z,99,2,1
2022-03-21T01:47:32.874Z,175,84,11
2022-03-21T01:49:55.257Z,74,59,18
2022-03-22T00:56:15.944Z,25,15,8
2022-03-22T00:57:43.864Z,22,5,2
2022-03-22T01:07:26.351Z,58,16,10
2022-03-22T01:15:57.994Z,96,92,58
2022-03-22T01:17:49.671Z,142,44,28
2022-03-22T01:28:02.373Z,79,79,41
2022-03-22T01:29:12.459Z,92,67,24
2022-03-22T01:46:54.341Z,18,7,3
2022-03-23T00:54:20.645Z,191,34,28
2022-03-23T01:05:55.896Z,92,43,15
2022-03-23T01:11:51.373Z,39,32,4
2022-03-23T01:14:04.561Z,25,21,21
2022-03-23T01:38:19.240Z,79,59,9
2022-03-23T01:38:21.241Z,103,73,21
2022-03-23T01:45:56.005Z,49,26,11
2022-03-23T01:51:45.519Z,40,9,5
2022-03-24T00:52:01.809Z,18,4,2
2022-03-24T00:54:53.901Z,143,13,7
2022-03-24T01:03:19.562Z,82,56,5
2022-03-24T01:06:28.110Z,141,127,111
2022-03-24T01:17:29.186Z,151,64,2
2022-03-24T01:20:43.000Z,125,48,14
2022-03-24T01:23:27.297Z,159,135,39
2022-03-24T01:25:13.589Z,23,9,6
2022-03-24T01:26:41.426Z,10,3,1
2022-03-24T01:34:03.059Z,181,108,19
2022-03-24T01:38:46.257Z,55,17,13
2022-03-24T01:45:04.731Z,97,68,27
2022-03-24T01:46:52.464Z,12,6,5
2022-03-24T01:51:17.843Z,176,143,44
2022-03-25T01:04:19.339Z,34,21,1
2022-03-25T01:05:53.396Z,136,0,0
2022-03-25T01:18:24.128Z,140,99,72
2022-03-25T01:21:41.206Z,190,65,58
2022-03-25T01:31:46.016Z,23,6,6
2022-03-25T01:40:57.952Z,136,54,11
2022-03-26T00:53:18.942Z,4,0,0
2022-03-26T00:57:45.650Z,64,27,7
2022-03-26T01:05:38.390Z,132,29,6
2022-03-26T01:06:01.258Z,116,48,33
2022-03-26T01:06:41.973Z,16,2,0
2022-03-26T01:09:54.748Z,62,29,26
2022-03-26T01:15:44.553Z,112,32,30
2022-03-26T01:33:22.793Z,74,49,12
2022-03-26T01:39:23.903Z,139,24,1
2022-03-26T01:40:23.202Z,116,8,4
2022-03-26T01:43:12.946Z,177,173,89
2022-03-27T00:56:09.234Z,64,18,12
2022-03-27T01:00:50.015Z,16,2,0
2022-03-27T01:03:16.303Z,110,62,12
2022-03-27T01:11:21.380Z,89,56,54
2022-03-27T01:17:34.562Z,3,2,1
2022-03-27T01:20:05.540Z,116,107,106
2022-03-27T01:41:00.357Z,114,4,2
2022-03-27T01:42:58.491Z,149,127,104
2022-03-27T01:48:44.423Z,136,42,28
2022-03-28T00:57:31.341Z,69,32,4
2022-03-28T01:35:44.342Z,177,77,76
2022-03-28T01:40:09.882Z,142,106,16
2022-03-28T01:47:44.835Z,6,2,1
2022-03-28T01:50:11.538Z,138,46,4
2022-03-29T00:52:45.393Z,12,4,4
2022-03-29T00:55:10.060Z,9,3,1
2022-03-29T00:56:37.511Z,37,27,21
2022-03-29T01:04:53.446Z,152,10,9
2022-03-29T01:12:55.928Z,143,74,7
2022-03-29T01:22:48.800Z,35,1,0
2022-03-29T01:25:00.569Z,46,28,20
2022-03-29T01:27:20.498Z,194,127,42
2022-03-29T01:38:37.567Z,149,40,9
2022-03-29T01:44:11.379Z,171,25,14
2022-03-29T01:45:34.787Z,100,98,8
2022-03-29T01:51:22.728Z,5,2,1
2022-03-30T01:00:48.327Z,2,2,0
2022-03-30T01:12:51.097Z,162,129,27
2022-03-30T01:17:43.823Z,138,75,14
2022-03-30T01:35:55.416Z,71,33,3
2022-03-30T01:40:32.156Z,195,57,53
2022-03-31T00:53:55.468Z,77,76,73
2022-03-31T00:54:29.704Z,118,23,17
2022-03-31T01:03:59.952Z,129,107,19
2022-03-31T01:05:49.580Z,25,17,13
2022-03-31T01:07:57.717Z,5,2,2
2022-03-31T01:13:45.339Z,16,1,0
2022-03-31T01:14:35.539Z,37,5,2
2022-03-31T01:22:07.000Z,75,66,6
2022-03-31T01:37:10.437Z,198,146,49
2022-03-31T01:46:51.263Z,4,0,0
2022-04-01T00:55:18.676Z,11,9,1
2022-04-01T00:58:38.942Z,103,28,26
2022-04-01T01:07:11.490Z,137,116,87
2022-04-01T01:21:35.305Z,111,44,6
2022-04-01T01:32:48.705Z,16,11,0
2022-04-01T01:40:46.657Z,69,47,41
2022-04-01T01:42:23.934Z,85,81,42
2022-04-01T01:47:29.216Z,68,19,8
2022-04-01T01:48:42.487Z,15,9,8
2022-04-01T01:50:29.574Z,196,124,20
2022-04-02T00:56:03.672Z,190,27,27
2022-04-02T01:03:25.564Z,125,23,14
2022-04-02T01:04:35.837Z,23,4,1
2022-04-02T01:23:18.422Z,179,65,16
2022-04-02T01:26:50.793Z,175,174,156
2022-04-02T01:32:23.670Z,11,2,2
2022-04-02T01:35:22.856Z,156,145,78
2022-04-02T01:43:56.676Z,11,2,1
2022-04-02T01:46:09.642Z,191,46,41
2022-04-03T00:53:05.245Z,190,97,84
2022-04-03T00:55:53.843Z,173,119,99
2022-04-03T01:03:12.805Z,197,141,106
2022-04-03T01:03:55.951Z,139,23,10
2022-04-03T01:05:02.899Z,50,1,1
2022-04-03T01:17:45.830Z,132,28,27
2022-04-03T01:17:54.231Z,94,20,18
2022-04-03T01:23:25.140Z,127,110,82
2022-04-03T01:25:03.648Z,18,0,0
2022-04-03T01:28:16.588Z,186,113,100
2022-04-03T01:28:51.326Z,45,12,2
2022-04-03T01:41:28.016Z,46,14,10
2022-04-04T00:52:11.066Z,24,3,2
2022-04-04T01:04:20.220Z,97,67,38
2022-04-04T01:08:53.617Z,84,32,26
2022-04-04T01:19:14.728Z,123,26,20
2022-04-04T01:20:20.065Z,5,4,2
2022-04-04T01:23:12.191Z,92,12,10
2022-04-04T01:23:48.270Z,63,11,10
2022-04-04T01:24:41.719Z,107,52,25
2022-04-04T01:38:53.712Z,43,19,7
2022-04-04T01:40:05.385Z,188,85,34
2022-04-04T01:42:25.924Z,88,46,18
2022-04-04T01:49:12.159Z,136,135,23
2022-04-04T01:51:33.599Z,50,20,4
2022-04-05T00:58:04.474Z,86,30,8
2022-04-05T01:00:35.359Z,42,17,12
2022-04-05T01:12:00.324Z,31,3,2
2022-04-05T01:13:05.862Z,41,19,0
2022-04-05T01:21:36.183Z,88,31,7
2022-04-05T01:23:19.396Z,185,120,41
2022-04-05T01:24:56.743Z,39,7,1
2022-04-05T01:29:00.500Z,176,87,80
2022-04-05T01:29:48.221Z,167,47,45
2022-04-05T01:42:36.777Z,182,158,152
2022-04-05T01:44:34.797Z,140,62,59
2022-04-05T01:45:09.568Z,3,3,1
2022-04-05T01:45:30.967Z,184,157,142
2022-04-05T01:45:47.718Z,184,133,47
2022-04-05T01:49:41.394Z,179,111,29
2022-04-06T00:52:37.939Z,199,132,60
2022-04-06T00:56:02.931Z,92,85,81
2022-04-06T01:12:55.022Z,183,50,11
2022-04-06T01:13:29.780Z,161,35,17
2022-04-06T01:13:39.812Z,86,34,28
2022-04-06T01:15:43.129Z,108,97,90
2022-04-06T01:30:15.742Z,169,121,42
2022-04-06T01:34:04.852Z,51,13,11
2022-04-06T01:39:46.167Z,23,4,0
2022-04-06T01:41:33.371Z,178,78,28
2022-04-06T01:42:44.406Z,144,19,8
2022-04-06T01:43:01.603Z,101,70,0
2022-04-06T01:49:40.684Z,19,17,8
2022-04-07T00:59:42.858Z,127,68,67
2022-04-07T01:04:23.705Z,178,136,32
2022-04-07T01:07:18.151Z,171,70,47
2022-04-07T01:33:25.444Z,135,78,49
2022-04-08T00:53:26.598Z,107,105,46
2022-04-08T00:55:22.100Z,188,157,77
2022-04-08T00:56:33.647Z,29,17,2
2022-04-08T01:01:07.014Z,63,2,2
2022-04-08T01:01:14.577Z,100,62,56
2022-04-08T01:12:43.464Z,75,60,15
2022-04-08T01:15:28.437Z,82,11,9
2022-04-08T01:20:47.763Z,41,18,6
2022-04-08T01:21:02.803Z,42,32,31
2022-04-08T01:25:53.054Z,117,17,2
2022-04-08T01:29:29.846Z,159,61,11
2022-04-08T01:37:28.402Z,95,6,1
2022-04-09T00:54:58.209Z,3,2,1
2022-04-09T01:03:14.012Z,164,132,121
2022-04-09T01:14:41.889Z,50,5,2
2022-04-09T01:19:21.238Z,92,46,10
2022-04-09T01:19:26.406Z,147,118,22
2022-04-09T01:20:44.589Z,146,135,47
2022-04-09T01:21:42.729Z,40,27,1
2022-04-09T01:23:18.600Z,17,16,9
2022-04-09T01:29:26.393Z,132,129,121
2022-04-09T01:40:42.932Z,168,91,58
2022-04-09T01:46:30.761Z,194,24,15
2022-04-09T01:49:49.587Z,195,96,82
2022-04-10T00:55:26.730Z,123,33,14
2022-04-10T01:02:31.610Z,150,121,56
2022-04-10T01:09:23.951Z,179,111,71
2022-04-10T01:37:46.826Z,153,146,135
2022-04-11T00:59:15.102Z,125,8,3
2022-04-11T00:59:34.309Z,92,88,40
2022-04-11T01:03:12.376Z,165,122,20
2022-04-11T01:39:36.821Z,49,3,0
2022-04-11T01:44:32.436Z,151,108,53
2022-04-12T00:52:13.672Z,78,12,4
2022-04-12T00:52:18.428Z,117,93,32
2022-04-12T00:54:19.524Z,39,17,16
2022-04-12T01:28:05.102Z,76,69,63
2022-04-12T01:28:16.558Z,127,122,61
2022-04-12T01:30:22.363Z,138,104,29
2022-04-12T01:32:49.581Z,110,71,48
2022-04-12T01:42:21.975Z,33,23,19
2022-04-13T00:56:55.288Z,49,9,1
2022-04-13T01:19:45.275Z,133,73,28
2022-04-13T01:40:17.807Z,80,3,2
2022-04-13T01:40:22.608Z,47,12,6
2022-04-13T01:42:40.964Z,72,41,3
2022-04-13T01:44:03.654Z,172,29,19
2022-04-13T01:46:37.024Z,67,28,25
2022-04-13T01:47:10.423Z,151,103,10
2022-04-14T00:53:11.179Z,67,66,63
2022-04-14T01:06:09.169Z,29,22,15
2022-04-14T01:09:16.384Z,143,51,19
2022-04-14T01:13:29.565Z,67,18,13
2022-04-14T01:23:41.821Z,52,49,16
2022-04-14T01:29:17.349Z,148,118,29
2022-04-14T01:43:19.670Z,97,60,7
2022-04-14T01:45:28.930Z,16,8,4
2022-04-15T00:58:07.778Z,137,16,10
2022-04-15T01:00:03.543Z,119,112,7
2022-04-15T01:01:14.084Z,102,56,54
2022-04-15T01:17:20.734Z,65,27,1
2022-04-15T01:22:20.951Z,169,59,24
2022-04-15T01:23:58.553Z,135,109,34
2022-04-15T01:24:18.325Z,153,95,11
2022-04-15T01:28:59.571Z,64,45,7
2022-04-15T01:38:24.103Z,78,22,1
2022-04-15T01:44:40.304Z,141,133,29
2022-04-16T00:58:38.374Z,112,13,7
2022-04-16T01:00:10.101Z,75,47,35
2022-04-16T01:14:02.065Z,19,13,1
2022-04-16T01:16:17.524Z,26,14,6
2022-04-16T01:19:18.633Z,9,5,5
2022-04-16T01:23:23.958Z,147,55,40
2022-04-16T01:25:07.656Z,76,12,6
2022-04-16T01:43:06.268Z,199,156,136
2022-04-17T01:06:10.281Z,122,82,16
2022-04-17T01:10:48.366Z,26,16,3
2022-04-17T01:13:57.034Z,86,82,44
2022-04-17T01:14:43.743Z,3,2,2
2022-04-17T01:18:59.474Z,70,32,7
2022-04-17T01:28:16.800Z,121,50,49
2022-04-17T01:35:35.484Z,48,23,2
2022-04-17T01:37:47.544Z,29,8,4
2022-04-17T01:41:29.171Z,1,0,0
2022-04-18T00:55:02.381Z,54,53,38
2022-04-18T00:57:16.004Z,193,106,78
2022-04-18T01:07:17.850Z,82,29,14
2022-04-18T01:17:46.605Z,82,3,0
2022-04-18T01:26:11.529Z,153,123,20
2022-04-18T01:27:58.135Z,22,6,0
2022-04-18T01:31:58.913Z,53,50,31
2022-04-18T01:32:10.932Z,126,123,4
2022-04-18T01:42:22.718Z,141,20,7
2022-04-18T01:46:02.669Z,90,58,17
2022-04-18T01:46:03.092Z,28,19,12
2022-04-18T01:47:40.552Z,50,21,10
2022-04-19T00:59:26.839Z,153,145,114
2022-04-19T00:59:42.108Z,86,85,41
2022-04-19T01:04:25.356Z,138,13,10
2022-04-19T01:09:31.390Z,29,1,1
2022-04-19T01:11:26.670Z,161,99,33
2022-04-19T01:30:07.509Z,94,63,38
2022-04-19T01:32:17.807Z,38,12,12
2022-04-19T01:36:11.376Z,144,50,36
2022-04-19T01:37:04.370Z,93,75,38
2022-04-19T01:48:08.243Z,197,61,21
2022-04-20T01:15:10.504Z,192,29,1
2022-04-20T01:15:11.133Z,166,63,10
2022-04-20T01:22:54.925Z,72,65,31
2022-04-20T01:27:48.862Z,9,4,3
2022-04-20T01:43:07.767Z,32,1,0
2022-04-20T01:44:12.579Z,26,11,3
2022-04-20T01:47:45.402Z,35,6,0
2022-04-21T00:52:01.538Z,71,9,2
2022-04-21T00:53:31.219Z,63,2,2
2022-04-21T00:56:45.427Z,96,68,53
2022-04-21T00:57:04.990Z,130,91,18
2022-04-21T01:03:49.791Z,13,3,0
2022-04-21T01:20:44.507Z,146,32,13
2022-04-21T01:22:56.883Z,41,5,3
2022-04-21T01:30:49.132Z,191,181,78
2022-04-21T01:34:12.095Z,10,3,2
2022-04-22T01:02:47.620Z,166,51,21
2022-04-22T01:19:35.122Z,128,55,21
2022-04-22T01:22:17.573Z,90,58,53
2022-04-22T01:24:45.395Z,94,58,55
2022-04-22T01:26:36.232Z,141,48,42
2022-04-22T01:40:45.593Z,73,59,49
2022-04-22T01:44:43.921Z,6,4,4
2022-04-22T01:46:00.070Z,48,34,13
2022-04-23T00:58:09.855Z,134,118,59
2022-04-23T01:03:37.233Z,48,0,0
2022-04-23T01:27:02.846Z,114,66,21
2022-04-23T01:33:12.969Z,87,12,8
2022-04-23T01:37:16.944Z,14,8,5
2022-04-23T01:45:59.596Z,65,58,48
2022-04-24T00:53:27.775Z,15,3,2
2022-04-24T00:55:21.560Z,51,48,9
2022-04-24T01:05:16.622Z,115,7,5
2022-04-24T01:16:09.427Z,43,14,7
2022-04-24T01:24:18.642Z,32,5,3
2022-04-24T01:34:06.184Z,142,132,20
2022-04-24T01:34:59.606Z,183,23,2
2022-04-24T01:37:08.610Z,117,43,17
2022-04-25T01:15:25.067Z,106,63,39
2022-04-25T01:15:34.607Z,185,164,14
2022-04-25T01:26:07.474Z,70,41,9
2022-04-25T01:31:16.053Z,1,1,1
2022-04-25T01:36:53.241Z,98,13,0
2022-04-25T01:41:23.944Z,96,56,53
2022-04-26T01:15:05.524Z,10,4,3
2022-04-26T01:23:38.403Z,53,45,19
2022-04-26T01:24:05.944Z,139,35,27
2022-04-26T01:26:05.566Z,21,2,1
2022-04-26T01:27:29.587Z,81,77,37
2022-04-26T01:35:47.559Z,143,58,57
2022-04-27T00:57:08.390Z,88,41,26
2022-04-27T01:21:46.759Z,65,47,1
2022-04-27T01:38:25.990Z,82,31,12
2022-04-27T01:41:38.993Z,26,17,0
2022-04-27T01:46:36.037Z,166,65,24
2022-04-28T01:00:00.385Z,69,62,31
2022-04-28T01:03:01.192Z,198,25,11
2022-04-28T01:03:39.520Z,140,70,27
2022-04-28T01:04:09.188Z,5,3,1
2022-04-28T01:13:14.960Z,180,110,87
2022-04-28T01:13:50.825Z,168,142,134
2022-04-28T01:20:21.531Z,176,112,105
2022-04-28T01:21:35.960Z,25,10,3
2022-04-28T01:40:00.278Z,14,1,0
2022-04-28T01:41:44.512Z,111,107,20
2022-04-28T01:42:25.007Z,71,4,2
2022-04-28T01:48:04.566Z,83,26,23
2022-04-29T00:53:51.677Z,24,9,8
2022-04-29T00:55:00.791Z,155,91,60
2022-04-29T01:06:20.858Z,90,57,51
2022-04-29T01:18:06.519Z,11,1,1
2022-04-29T01:18:08.334Z,188,68,34
2022-04-29T01:24:48.030Z,40,6,5
2022-04-30T00:52:45.001Z,200,166,11
2022-04-30T00:55:00.837Z,149,74,30
2022-04-30T00:59:55.377Z,183,81,41
2022-04-30T01:00:39.003Z,131,131,7
2022-04-30T01:10:54.417Z,200,158,77
2022-04-30T01:14:55.304Z,113,56,12
2022-04-30T01:19:24.271Z,94,65,38
2022-04-30T01:31:59.770Z,120,17,9
2022-04-30T01:37:11.894Z,2,1,0
2022-04-30T01:37:31.332Z,25,19,14
2022-04-30T01:41:58.454Z,116,8,4
2022-04-30T01:42:50.432Z,169,145,39
2022-04-30T01:42:59.937Z,15,4,2
2022-05-01T00:54:21.987Z,181,97,63
2022-05-01T00:59:22.528Z,168,144,131
2022-05-01T01:00:07.928Z,159,108,71
2022-05-01T01:09:07.903Z,119,43,7
2022-05-01T01:13:47.554Z,77,12,9
2022-05-01T01:15:31.228Z,31,25,8
2022-05-01T01:33:14.623Z,99,20,15
2022-05-01T01:40:59.655Z,5,1,0
2022-05-01T01:49:48.881Z,2,1,0
2022-05-02T00:54:18.227Z,168,163,49
2022-05-02T00:57:59.133Z,188,57,22
2022-05-02T01:03:28.525Z,123,11,1
2022-05-02T01:03:28.985Z,108,95,48
2022-05-02T01:07:33.589Z,129,17,17
2022-05-02T01:11:02.907Z,156,87,35
2022-05-02T01:11:26.395Z,1,0,0
2022-05-02T01:12:28.000Z,64,2,0
2022-05-02T01:18:14.754Z,111,67,17
2022-05-02T01:30:40.012Z,61,22,11
2022-05-02T01:31:59.287Z,159,79,50
2022-05-02T01:32:04.823Z,92,69,56
2022-05-02T01:39:14.630Z,147,11,4
2022-05-02T01:42:17.891Z,31,31,12
2022-05-02T01:48:07.505Z,186,140,25
2022-05-03T01:00:26.951Z,154,126,21
2022-05-03T01:16:21.367Z,145,110,61
2022-05-03T01:17:22.942Z,136,35,33
2022-05-03T01:27:18.548Z,167,62,6
2022-05-03T01:27:28.380Z,72,9,8
2022-05-03T01:31:06.170Z,70,4,1
2022-05-03T01:39:24.857Z,134,121,88
2022-05-04T00:54:00.992Z,118,55,25
2022-05-04T00:57:17.830Z,16,7,2
2022-05-04T01:01:18.554Z,22,1,1
2022-05-04T01:01:35.488Z,70,35,23
2022-05-04T01:02:30.499Z,67,25,7
2022-05-04T01:35:57.676Z,100,31,11
2022-05-04T01:36:24.127Z,24,16,10
2022-05-04T01:38:09.757Z,86,58,57
2022-05-04T01:46:25.900Z,163,51,33
2022-05-04T01:50:06.957Z,11,5,2
2022-05-05T00:54:32.161Z,83,2,1
2022-05-05T00:55:19.908Z,87,56,20
2022-05-05T00:58:43.516Z,107,52,25
2022-05-05T01:00:36.266Z,100,54,18
2022-05-05T01:04:24.371Z,198,186,39
2022-05-05T01:08:03.091Z,2,0,0
2022-05-05T01:10:12.995Z,165,24,2
